molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,qed,vina_score,num_rings,aromatic_rings,caco2,bbb_logBB,h2o_sol_logS,bioavailability,sascore,plip_hbonds,plip_hydrophobic,plip_pi_stack,electrostatic_descriptor,topological_psa,pKd,affinity_nM,target_id,source_phytochemical,evidence_tier,notes
469.71,-0.35,71.25,1,4,1,0.708,-4.809,1,4,-5.156,-1.911,-4.907,0.6,2.13,1,8,3,-1.677,73.04,5.866,1362.48,T010_ERa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
499.07,1.542,53.32,6,7,1,0.27,-10.775,3,4,-5.471,-1.87,-3.703,0.37,6.61,0,8,2,1.976,55.69,8.663,2.17,T010_ERa,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
438.68,3.727,36.87,1,6,1,0.841,-5.001,4,2,-5.093,0.502,-5.187,0.51,5.35,5,1,1,0.205,31.77,6.385,412.24,T007_COX2,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
259.81,1.446,145.25,0,5,0,0.804,-8.491,1,1,-4.174,-0.298,-2.41,0.43,4.5,5,7,1,-1.411,140.18,7.941,11.46,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
281.37,3.008,164.67,3,7,3,0.948,-10.463,4,0,-4.488,0.583,-5.236,0.4,5.4,4,1,3,-0.71,174.6,6.899,126.21,T010_ERa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
490.14,0.187,162.72,6,6,10,0.455,-9.299,2,3,-5.994,0.166,-2.402,0.88,5.81,4,1,2,2.05,162.87,6.761,173.53,T003_TLR4,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
336.96,0.469,173.02,4,2,9,0.443,-11.354,3,2,-5.521,-1.277,-3.163,0.35,5.66,0,8,1,-2.23,172.53,7.274,53.22,T010_ERa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
632.18,5.073,143.29,5,5,4,0.499,-6.462,3,3,-4.201,-0.646,-4.76,0.34,2.11,4,3,1,-2.957,147.45,6.428,373.14,T001_mGluR2,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
183.7,-0.312,79.56,4,5,4,0.702,-9.893,2,4,-4.848,-1.271,-3.635,0.54,2.47,5,6,2,-0.459,78.9,8.658,2.2,T007_COX2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
180.31,3.869,150.09,0,5,3,0.343,-8.135,4,1,-5.443,-1.251,-1.384,0.57,6.31,4,1,0,0.913,150.9,6.212,614.36,T001_mGluR2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
613.18,4.592,54.95,3,9,3,0.848,-4.732,2,3,-5.996,-0.829,-1.367,0.77,3.43,5,8,3,-2.071,50.88,8.211,6.15,T006_Mpro,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
